subject	chooseRed	noIndRed	statedMajority
11	1	2	1
12	0	2	1
13	1	2	1
14	0	2	0
15	0	2	0
16	0	2	1
17	1	2	0
18	1	1	0
19	1	1	1
20	0	1	0
21	1	1	0
22	0	1	1
23	0	1	1
24	0	1	1
30	1	4	1
31	0	4	0
32	1	4	1
33	1	4	1
34	0	4	0
35	0	4	1
36	1	4	1
47	1	3	1
48	1	3	1
49	1	3	1
50	0	3	1
51	0	3	1
52	1	3	1
53	0	3	0
54	0	1	0
55	0	1	1
56	0	1	1
57	0	1	0
58	1	1	1
59	0	1	1
65	1	1	0
66	1	1	1
67	0	1	1
68	0	1	1
69	0	1	1
70	1	1	1
11	0	1	1
12	0	1	1
13	0	1	1
14	0	1	0
15	0	1	0
16	0	1	1
17	0	1	0
18	0	2	0
19	0	2	1
20	1	2	0
21	1	2	0
22	0	2	1
23	0	2	1
24	0	2	1
30	0	4	1
31	0	4	0
32	1	4	1
33	1	4	1
34	0	4	0
35	0	4	1
36	1	4	1
47	1	3	1
48	0	3	1
49	0	3	1
50	1	3	1
51	1	3	1
52	1	3	1
53	0	3	0
54	0	0	0
55	0	0	1
56	0	0	1
57	0	0	0
58	1	0	1
59	0	0	1
65	1	2	0
66	1	2	1
67	1	2	1
68	0	2	1
69	0	2	1
70	1	2	1
11	0	2	1
12	0	2	1
13	0	2	1
14	0	2	0
15	0	2	0
16	1	2	1
17	1	2	0
18	1	3	0
19	0	3	1
20	1	3	0
21	0	3	0
22	1	3	1
23	1	3	1
24	1	3	1
30	1	3	1
31	0	3	0
32	0	3	1
33	1	3	1
34	0	3	0
35	0	3	1
36	1	3	1
47	0	1	1
48	1	1	1
49	0	1	1
50	0	1	1
51	0	1	1
52	1	1	1
53	1	1	0
54	0	2	0
55	0	2	1
56	0	2	1
57	0	2	0
58	1	2	1
59	0	2	1
65	1	2	0
66	0	2	1
67	0	2	1
68	0	2	1
69	0	2	1
70	0	2	1
11	0	2	1
12	0	2	1
13	0	2	1
14	0	2	0
15	0	2	0
16	0	2	1
17	0	2	0
18	1	2	0
19	0	2	1
20	1	2	0
21	1	2	0
22	0	2	1
23	0	2	1
24	1	2	1
30	1	2	1
31	0	2	0
32	0	2	1
33	0	2	1
34	0	2	0
35	0	2	1
36	0	2	1
47	1	3	1
48	1	3	1
